AD/AS/C/0089,42,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0090,43,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-06,1,1,2
AD/AS/C/0091,44,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-10,1,1,2
AD/AS/C/0092,45,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-07,1,1,2
AD/AS/C/0093,46,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0094,47,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-07,1,1,2
AD/AS/C/0095,48,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,1y,1,1,2
AD/AS/C/0096,49,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,1y,1,1,2
AD/AS/C/0097,50,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0098,51,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-09,1,1,2
AD/AS/C/0099,52,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-10,1,1,2
AD/AS/C/0100,53,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-09,1,1,2
AD/AS/C/0101,54,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-06,1,1,2
AD/AS/C/0102,55,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-07,1,1,2
AD/AS/C/0103,56,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0104,57,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-06,1,1,2
AD/AS/C/0105,58,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0106,59,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0107,60,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-06,1,1,2
AD/AS/C/0108,61,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-09,1,1,2
AD/AS/C/0109,62,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0110,63,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-05,1,1,2
AD/AS/C/0111,64,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-07,1,1,2
AD/AS/C/0112,65,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0113,66,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-09,1,1,2
AD/AS/C/0114,67,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-08,1,1,2
AD/AS/C/0115,68,Assam,Kamrup Metropolitant,,"Athgaon, Guwahati",25-03-2022,1,1,F,0-06,1,1,2
AD/AS/C/0002,69,Assam,Karbi-Anglong,,"Dihingia,Manipuri Basti ",08-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0003,70,Assam,Karbi-Anglong,,"Dihingia,Manipuri Basti ",08-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0004,71,Assam,Karbi-Anglong,,"Govt. Cattle Farm, Manja",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0009,72,Assam,Karbi-Anglong,,"Govt. Cattle Farm, Manja",09-04-2022,1,1,F,1y,1,1,2
AD/AS/C/0010,73,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0011,74,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0012,75,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-07,1,1,2
AD/AS/C/0015,76,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-09,1,1,2
AD/AS/C/0016,77,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-08,1,1,2
AD/AS/C/0020,78,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-05,1,1,2
AD/AS/C/0021,79,Assam,Karbi-Anglong,,"Taralangso, Ward No 10 (DIPHU)",09-04-2022,1,1,F,0-08,1,1,2
