sl.no,State_Name,District_Name,Taluk,Village,Lattitude,Longitude
3812,ARUNACHAL PRADESH,Papum Pare,Doimukh ,Taying Tarang,27.191698,93.688339
3813,ARUNACHAL PRADESH,Papum Pare,Doimukh ,Shopo,27.192513,93.835014
3814,ARUNACHAL PRADESH,Papum Pare,Doimukh ,10 Mile Camp,27.199598,93.714867
3815,ARUNACHAL PRADESH,Papum Pare,Doimukh ,5 Mile Village,27.199831,93.753334
3816,ARUNACHAL PRADESH,Papum Pare,Toru,Hoj -I,27.204702,93.608406
3817,ARUNACHAL PRADESH,Papum Pare,Sagalee,Yapso,27.207638,93.509956
3818,ARUNACHAL PRADESH,Papum Pare,Toru,Kheel - I,27.208054,93.691002
3819,ARUNACHAL PRADESH,Papum Pare,Doimukh ,Rose,27.20883,93.83712
3820,ARUNACHAL PRADESH,Papum Pare,Toru,Toru,27.211191,93.671226
3822,ARUNACHAL PRADESH,Papum Pare,Toru,Satang,27.212475,93.7151109
3823,ARUNACHAL PRADESH,Papum Pare,Toru,58 K.M. Camp,27.212935,93.654663
3825,ARUNACHAL PRADESH,Papum Pare,Toru,Laptap,27.21629,93.6343
3827,ARUNACHAL PRADESH,Papum Pare,Sagalee,Rigo,27.21668,93.575233
3828,ARUNACHAL PRADESH,Papum Pare,Toru,Tashi,27.217669,93.656677
3829,ARUNACHAL PRADESH,Papum Pare,Sagalee,Balapu -I,27.218822,93.591561
3831,ARUNACHAL PRADESH,Papum Pare,Sagalee,Deb -I,27.221581,93.524994
3832,ARUNACHAL PRADESH,Papum Pare,Doimukh ,Jampa,27.224724,93.878303
3833,ARUNACHAL PRADESH,Papum Pare,Toru,19th Mile ,27.225336,93.724587
3834,ARUNACHAL PRADESH,Papum Pare,Toru,Mowa,27.226114,93.672661
3835,ARUNACHAL PRADESH,Papum Pare,Toru, Upper Geram,27.226908,93.711266
3837,ARUNACHAL PRADESH,Papum Pare,Sangdupota (Besar Nello),Habia,27.229845,93.776863
3839,ARUNACHAL PRADESH,Papum Pare,Sagalee,Rate,27.231239,93.525261
3840,ARUNACHAL PRADESH,Papum Pare,Doimukh ,Tomru,27.231895,93.89344
3841,ARUNACHAL PRADESH,Papum Pare,Sagalee,Nimte -I,27.2331698,93.5471135
3843,ARUNACHAL PRADESH,Papum Pare,Toru,Sang Kang,27.234186,93.6646899
3844,ARUNACHAL PRADESH,Papum Pare,Toru,Mep - Soro,27.234432,93.728332
3845,ARUNACHAL PRADESH,Papum Pare,Toru,59th K.M. Toru,27.236512,93.6950729
3846,ARUNACHAL PRADESH,Papum Pare,Sagalee,Langfer -I(Longpak),27.236712,93.594673
3848,ARUNACHAL PRADESH,Papum Pare,Sangdupota (Besar Nello),Lower Jote,27.236742,93.553764
3849,ARUNACHAL PRADESH,Papum Pare,Toru,Kuksing(Luk Sing),27.238116,93.768194
3850,ARUNACHAL PRADESH,Papum Pare,Sagalee,Meb,27.239853,93.603645
3851,ARUNACHAL PRADESH,Papum Pare,Toru,Dakte,27.241471,93.7629089
3852,ARUNACHAL PRADESH,Papum Pare,Kimin ,Bukka - I,27.243252,93.897491
3853,ARUNACHAL PRADESH,Papum Pare,Sagalee,Rach - I,27.244982,93.516228
3855,ARUNACHAL PRADESH,Papum Pare,Sagalee,Rach - Tabio,27.245573,93.524147
3856,ARUNACHAL PRADESH,Papum Pare,Toru,52nd K.M. Camp,27.247364,93.677062
3857,ARUNACHAL PRADESH,Papum Pare,Sagalee,Sagalee,27.2491153,93.4965553
3858,ARUNACHAL PRADESH,Papum Pare,Sagalee,Yallang,27.251459,93.501915
3859,ARUNACHAL PRADESH,Papum Pare,Toru,47 K.M. Camp,27.251642,93.673935
3860,ARUNACHAL PRADESH,Papum Pare,Sagalee,Sangri,27.253117,93.588531
3861,ARUNACHAL PRADESH,Papum Pare,Toru,Pepso,27.253277,93.695473
3862,ARUNACHAL PRADESH,Papum Pare,Toru,Chilo,27.256028,93.657213
3863,ARUNACHAL PRADESH,Papum Pare,Toru,Ompoli - Hoj,27.260143,93.696003
3864,ARUNACHAL PRADESH,Papum Pare,Toru,Yayee I,27.261125,93.776946
3865,ARUNACHAL PRADESH,Papum Pare,Sagalee,Pang,27.262852,93.523613
3866,ARUNACHAL PRADESH,Papum Pare,Toru,Tamang,27.262947,93.667564
3867,ARUNACHAL PRADESH,Papum Pare,Toru,Dakte - Hoj,27.265751,93.784278
3868,ARUNACHAL PRADESH,Papum Pare,Toru,Mumtong,27.28808,93.682335
3869,ARUNACHAL PRADESH,Papum Pare,Sagalee,Apop -I,27.288464,93.527153
3870,ARUNACHAL PRADESH,Papum Pare,Toru,Khyunglo,27.29673,93.694237
3871,ARUNACHAL PRADESH,Papum Pare,Parang ,Tar,27.351501,93.561508
3873,ARUNACHAL PRADESH,Tawang,Bongkhar ,Bongleng,27.486786,91.73819
3874,ARUNACHAL PRADESH,Tawang,Bongkhar ,Kharung,27.495533,91.749054
3875,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Buri,27.497765,91.664383
3876,ARUNACHAL PRADESH,Tawang,LUMLA ,Sazo,27.503756,91.713966
3877,ARUNACHAL PRADESH,Tawang,LUMLA ,Kungba,27.504288,91.703873
3878,ARUNACHAL PRADESH,Tawang,LUMLA ,Dugumba,27.50621,91.7180939
3879,ARUNACHAL PRADESH,Tawang,LUMLA ,Hoongla,27.508951,91.739921
3880,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Maling,27.509701,91.673401
3881,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Pamdung,27.511253,91.670273
3883,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Dudunghar H.Q.,27.513828,91.672302
3884,ARUNACHAL PRADESH,Tawang,LUMLA ,New Lumla,27.514322,91.71954
3885,ARUNACHAL PRADESH,Tawang,Bongkhar ,Bomja,27.515249,91.838379
3886,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Phomghar,27.515427,91.679695
3887,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Khokem,27.516211,91.673889
3888,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Dungser,27.516314,91.679428
3889,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Mukto Village,27.516548,91.9151
3890,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Narmaleng,27.517097,91.678116
3891,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Khet,27.517223,91.868027
3892,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Surbin,27.51754,91.672928
3893,ARUNACHAL PRADESH,Tawang,Jang,Nuranang RA - III,27.517803,92.054856
3894,ARUNACHAL PRADESH,Tawang,LUMLA ,Phomang,27.519695,91.700661
3895,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Yuser,27.52038,91.665604
3896,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Guntse,27.522694,91.654473
3897,ARUNACHAL PRADESH,Tawang,LUMLA ,Baghar,27.523315,91.697304
3898,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Ramyang,27.524544,91.677834
3899,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Sherjong Mukto H.Q.,27.525429,91.921181
3900,ARUNACHAL PRADESH,Tawang,Jang,Yuthumbu,27.526102,92.043327
3901,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Sanghar,27.529297,91.673447
3902,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gorman Gompa,27.529669,91.8413999
3903,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Chellengdung,27.529772,91.68576
3904,ARUNACHAL PRADESH,Tawang,LUMLA ,Kharteng,27.5309973,91.6876948
3905,ARUNACHAL PRADESH,Tawang,Jang,Marmang,27.532965,92.029076
3906,ARUNACHAL PRADESH,Tawang,LUMLA ,Mangnam,27.533134,91.75042
3907,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gormang,27.53335,91.848694
3908,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Saikhar,27.534431,91.8335649
3909,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Nodo,27.534613,91.854202
3910,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gyada,27.534956,91.825249
3911,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Yusum,27.535263,91.840591
3912,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Gyandong,27.53551,91.8769625
3913,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Lhargong,27.536264,91.896965
3914,ARUNACHAL PRADESH,Tawang,LUMLA ,Sakyur,27.536667,91.800415
3915,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Surbi,27.536976,91.880318
3916,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Shabur,27.537266,91.8237
3917,ARUNACHAL PRADESH,Tawang,LUMLA ,Thrillam,27.537472,91.771454
3918,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Dumgree,27.538725,91.852341
3919,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Loudung,27.540586,91.684746
3920,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Tepsha,27.540794,91.882629
3921,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Shyajing,27.541779,91.843712
3922,ARUNACHAL PRADESH,Tawang,LUMLA ,LUMLA ,27.541966,91.729149
3924,ARUNACHAL PRADESH,Tawang,Jang,Namazing,27.542755,91.980911
3925,ARUNACHAL PRADESH,Tawang,LUMLA ,Yabab,27.542921,91.697838
3926,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Thongleng,27.543116,91.81826
3927,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Grenghar,27.543856,91.893303
3928,ARUNACHAL PRADESH,Tawang,Lhou ,Grelleng,27.54413,91.915375
3929,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Sohung,27.544144,91.835098
3930,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Paidhar,27.544155,91.881905
3931,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Sakpret,27.5446,91.823257
3932,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Bumteng,27.545118,91.845952
3933,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Pempaleng,27.545221,91.854446
3934,ARUNACHAL PRADESH,Tawang,Jang,Kharsa(New),27.545702,91.991043
3935,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Mukto,27.5464538,91.9083973
3936,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Maidung,27.547054,91.877052
3937,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Soma,27.547235,91.897682
3938,ARUNACHAL PRADESH,Tawang,LUMLA ,Kudung,27.548075,91.835754
3939,ARUNACHAL PRADESH,Tawang,Lhou ,Lhoudung,27.548618,91.909225
3940,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Gongkhar,27.5498835,91.898934
3941,ARUNACHAL PRADESH,Tawang,Jang,Kharsa(Old),27.550135,91.992561
3942,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gyanggit,27.552504,91.861321
3943,ARUNACHAL PRADESH,Tawang,Lhou ,Lhoukhar,27.55294,91.906357
3944,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Changteng,27.553061,91.877663
3945,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Lamrong,27.555626,91.838204
3946,ARUNACHAL PRADESH,Tawang,DUDUNGHAR ,Muktur,27.556873,91.677239
3947,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Unghar,27.557238,91.856354
3948,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Gomkelleng,27.5573043,91.9459653
3949,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Kangteng,27.557798,91.837791
3950,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Blemleng,27.557808,91.849869
3951,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Kralling,27.557995,91.893906
3952,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Kitkhar,27.558144,91.866722
3953,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Audung,27.558599,91.878036
3954,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gomkang,27.558735,91.821434
3955,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Famla,27.559341,91.854912
3956,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Darmong G,27.560176,91.891839
3957,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Teli,27.560242,91.844772
3958,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Prangteng,27.560732,91.889641
3960,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Bomba,27.561445,91.858841
3961,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gyangkhar,27.56197,91.850525
3962,ARUNACHAL PRADESH,Tawang,Lhou ,Khamba,27.561977,91.897079
3963,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Bigha,27.563288,91.824066
3964,ARUNACHAL PRADESH,Tawang,Lhou ,Lumkang,27.563475,91.914406
3965,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Saikharteng,27.564139,91.859242
3966,ARUNACHAL PRADESH,Tawang,Lhou ,Kregyang,27.564318,91.9007419
3967,ARUNACHAL PRADESH,Tawang,MUKTO CIRCLE,Mirba,27.5645191,91.9545218
3968,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Seru,27.564871,91.834099
3969,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Langateng,27.565039,91.882668
3970,ARUNACHAL PRADESH,Tawang,Lhou ,Tepsotmey,27.565672,91.891914
3971,ARUNACHAL PRADESH,Tawang,Lhou ,Brukpaleng,27.565712,91.899063
3972,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Shernup,27.565989,91.878609
3973,ARUNACHAL PRADESH,Tawang,Lhou ,Paigong,27.56625,91.898522
3974,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Khrimu,27.567036,91.891708
3975,ARUNACHAL PRADESH,Tawang,LUMLA ,Gispu,27.567244,91.698509
3976,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Beghar,27.567293,91.883568
3977,ARUNACHAL PRADESH,Tawang,Jang,Thongsheng,27.57155,91.907829
3978,ARUNACHAL PRADESH,Tawang,Lhou ,Khalengche,27.57316,91.914894
3979,ARUNACHAL PRADESH,Tawang,Lhou ,Dungkhar,27.574659,91.920433
3980,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Changbu,27.575659,91.843399
3981,ARUNACHAL PRADESH,Tawang,Lhou ,Shyro,27.576334,91.955864
3982,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Yubu,27.577633,91.861473
3983,ARUNACHAL PRADESH,Tawang,Bongkhar ,Bardung,27.5780678,91.8757422
4066,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Damgyen,27.579142,91.82917
4067,ARUNACHAL PRADESH,Tawang,Jang,Jang,27.5795496,91.9808129
4068,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Bathung,27.579977,91.8750079
4069,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Lebrang,27.580824,91.836479
4070,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Urgelling,27.581205,91.844025
4071,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Paikhar,27.581997,91.860611
4072,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Themkhar,27.582111,91.875725
4073,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,New Lebrang,27.582727,91.832421
4074,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Dharmakang,27.583437,91.860557
4075,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Sepling,27.584942,91.8827869
4076,ARUNACHAL PRADESH,Tawang,Lhou ,Rengyang,27.584957,91.916664
4077,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Kitpi,27.585121,91.867081
4079,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Ponkang,27.585498,91.880328
4080,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Bomdir Supply,27.586113,91.859001
4081,ARUNACHAL PRADESH,Tawang,Lhou ,Singsore Ani Gompa,27.587032,91.919388
4082,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Tarmang Gonpa,27.588873,91.877594
4083,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Bomdir Basti ,27.590496,91.870727
4084,ARUNACHAL PRADESH,Tawang,Lhou ,Brakhar Gompa,27.590837,91.918327
4085,ARUNACHAL PRADESH,Tawang,Zemithang,Shakti,27.591698,91.731209
4086,ARUNACHAL PRADESH,Tawang,Zemithang,Thikshi,27.592094,91.705681
4087,ARUNACHAL PRADESH,Tawang,KITPI CIRCLE ,Namet,27.593964,91.8664019
4088,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Timelo,27.594185,91.826645
4089,ARUNACHAL PRADESH,Tawang,Thingbu,Sarong,27.594318,91.973881
4090,ARUNACHAL PRADESH,Tawang,Thingbu,Luguthang,27.5944633,92.1852501
4091,ARUNACHAL PRADESH,Tawang,Lhou ,Jobrang,27.595627,91.917374
4092,ARUNACHAL PRADESH,Tawang,Lhou ,Jangda,27.5972186,91.9759204
4093,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Shyo,27.598228,91.819198
4094,ARUNACHAL PRADESH,Tawang,Lhou ,Menteng,27.598507,91.91407
4095,ARUNACHAL PRADESH,Tawang,Lhou ,Gemreteng,27.599533,91.907753
4097,ARUNACHAL PRADESH,Tawang,Zemithang,T.Gonpa,27.603514,91.802002
4098,ARUNACHAL PRADESH,Tawang,Zemithang,Khobleteng,27.603687,91.697761
4099,ARUNACHAL PRADESH,Tawang,Lhou ,Yanla Gompa,27.605026,91.905304
4101,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Labour Camp,27.608192,91.799545
4102,ARUNACHAL PRADESH,Tawang,Lhou ,Shakpaleng,27.611292,91.900047
4103,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Gyangong Ani Gompa,27.612139,91.818405
4104,ARUNACHAL PRADESH,Tawang,Lhou ,Lugudung,27.613888,91.885506
4105,ARUNACHAL PRADESH,Tawang,Thingbu,Rho,27.6149789,91.9902938
4106,ARUNACHAL PRADESH,Tawang,Lhou ,Surbu/Tseretse,27.6189,91.877121
4107,ARUNACHAL PRADESH,Tawang,TAWANG CIRCLE ,Bramadungchung,27.619368,91.834084
4108,ARUNACHAL PRADESH,Tawang,Thingbu,Broxer,27.61972,92.050186
4109,ARUNACHAL PRADESH,Tawang,Thingbu,Thingbu H.Q.,27.636742,92.107803
4110,ARUNACHAL PRADESH,Tawang,Zemithang,Dung,27.637691,91.719406
4111,ARUNACHAL PRADESH,Tawang,Thingbu,Thingbu,27.6606508,92.1002354
4112,ARUNACHAL PRADESH,Tawang,Zemithang,Kelengteng,27.665335,91.730728
4113,ARUNACHAL PRADESH,Tawang,Thingbu,Mago,27.6883155,92.2070667
4114,ARUNACHAL PRADESH,Tawang,Zemithang,Kharman,27.68919,91.740448
4115,ARUNACHAL PRADESH,Tawang,Zemithang,Lumpo,27.704195,91.731339
4117,ARUNACHAL PRADESH,Tawang,Zemithang,Zemithang,27.7097349,91.7289422
4118,ARUNACHAL PRADESH,Tawang,Zemithang,Zemithang H.Q.,27.717579,91.746674
4119,ARUNACHAL PRADESH,Tawang,Zemithang,Shoktsen,27.7317279,91.7135902
4120,ARUNACHAL PRADESH,Tawang,Zemithang,Gorsam,27.735334,91.746544
4121,ARUNACHAL PRADESH,Tirap,Khonsa,Thinsa,26.931341,95.534508
4122,ARUNACHAL PRADESH,Tirap,Khonsa,Longbo,26.949205,95.583122
4123,ARUNACHAL PRADESH,Tirap,Dadam,Hukan,26.9492674,95.4757764
4124,ARUNACHAL PRADESH,Tirap,Khonsa,Kheti,26.95918,95.5100521
4125,ARUNACHAL PRADESH,Tirap,Khonsa,Old Bunting,26.9900883,95.5420992
4126,ARUNACHAL PRADESH,Tirap,Khonsa,Lapnan,26.9907198,95.4827449
4127,ARUNACHAL PRADESH,Tirap,Khonsa,Khonsa,26.9928749,95.501379
4130,ARUNACHAL PRADESH,Tirap,Khonsa,Charju Project,26.994041,95.561775
4131,ARUNACHAL PRADESH,Tirap,Dadam,Bera,26.9942703,95.5407299
4304,ARUNACHAL PRADESH,Tirap,Khonsa,Jadthung,26.995935,95.587295
4305,ARUNACHAL PRADESH,Tirap,Khonsa,New Bunting,26.9996709,95.541139
4306,ARUNACHAL PRADESH,Tirap,Khonsa,Luthong,27.0054566,95.4710447
4307,ARUNACHAL PRADESH,Tirap,Khonsa,Lowangdong T.E.,27.005728,95.493111
4308,ARUNACHAL PRADESH,Tirap,Khonsa,Lamsa,27.009684,95.61689
4309,ARUNACHAL PRADESH,Tirap,Khonsa,Lowangchu T.E.,27.01141,95.490189
4310,ARUNACHAL PRADESH,Tirap,Khonsa,Khela,27.0145543,95.5369542
4311,ARUNACHAL PRADESH,Tirap,Khonsa,New Katang,27.028913,95.6375429
4312,ARUNACHAL PRADESH,Tirap,Khonsa,Old Katang,27.034204,95.644989
4313,ARUNACHAL PRADESH,Tirap,Khonsa,Wathin,27.034439,95.595474
4314,ARUNACHAL PRADESH,Tirap,Khonsa,Kaimai,27.0372937,95.4962915
4315,ARUNACHAL PRADESH,Tirap,Khonsa,Laptang,27.037945,95.502686
4316,ARUNACHAL PRADESH,Tirap,Khonsa,New Lainwang,27.05131,95.645325
4317,ARUNACHAL PRADESH,Tirap,Namsang,Wasathong,27.056875,95.547912
4318,ARUNACHAL PRADESH,Tirap,Khonsa,Old Lainwang,27.05735,95.6450799
4319,ARUNACHAL PRADESH,Tirap,Namsang,Natun Kheti,27.057947,95.593803
4320,ARUNACHAL PRADESH,Tirap,Namsang,Lamlo,27.076811,95.598366
4321,ARUNACHAL PRADESH,Tirap,Namsang,Sipini Pather,27.077354,95.502754
4322,ARUNACHAL PRADESH,Tirap,Namsang,Longkhong,27.080286,95.529205
4323,ARUNACHAL PRADESH,Upper Siang,Tuting,Tenggo,27.735943,94.396843
4324,ARUNACHAL PRADESH,Upper Siang,Katan ,Pongging,28.182539,95.192482
4325,ARUNACHAL PRADESH,Upper Siang,Katan ,Padu Abong,28.196579,95.170036
4326,ARUNACHAL PRADESH,Upper Siang,Katan ,Padu Tangkum,28.219717,95.160622
4327,ARUNACHAL PRADESH,Upper Siang,Katan ,Jeru,28.24962,95.18737
4329,ARUNACHAL PRADESH,Upper Siang,Katan ,Katan ,28.274649,95.125511
4331,ARUNACHAL PRADESH,Upper Siang,Katan ,Sibum,28.307386,95.135277
4332,ARUNACHAL PRADESH,Upper Siang,Geku,Sumsing,28.355213,95.096016
4333,ARUNACHAL PRADESH,Upper Siang,Mopom ( Adipasi ),Adipasi-Sibuk,28.3631327,95.2645259
4334,ARUNACHAL PRADESH,Upper Siang,Geku,Kumku,28.374561,95.096527
4335,ARUNACHAL PRADESH,Upper Siang,Mopom ( Adipasi ),Adipasi-Bine ,28.3752367,95.2717088
4336,ARUNACHAL PRADESH,Upper Siang,Mopom ( Adipasi ),Adipasi-Sikko,28.3825191,95.2717088
4337,ARUNACHAL PRADESH,Upper Siang,Mariyang,Damro-Kumku,28.384789,95.232063
4338,ARUNACHAL PRADESH,Upper Siang,Geku,Boom,28.391193,95.096405
4339,ARUNACHAL PRADESH,Upper Siang,Geku,Geku,28.403986,95.067764
4341,ARUNACHAL PRADESH,Upper Siang,Geku,Peram,28.404545,95.096527
4342,ARUNACHAL PRADESH,Upper Siang,Geku,Ramku,28.4236945,95.0885024
4343,ARUNACHAL PRADESH,Upper Siang,Mariyang,Damro-Gidum,28.439581,95.222038
4344,ARUNACHAL PRADESH,Upper Siang,Geku,Jommo-Kupak,28.443129,95.0989759
4345,ARUNACHAL PRADESH,Upper Siang,Mariyang,Damro-Gingkong,28.4485014,95.2410247
4346,ARUNACHAL PRADESH,Upper Siang,Geku,Silli Hydel Camp,28.454323,95.082497
4348,ARUNACHAL PRADESH,Upper Siang,Mariyang,Damro-Boga-Lasing,28.456324,95.256012
4349,ARUNACHAL PRADESH,Upper Siang,Geku,Delek,28.458063,95.103088
4350,ARUNACHAL PRADESH,Upper Siang,Mariyang,Bomi,28.464458,95.2470699
4351,ARUNACHAL PRADESH,Upper Siang,Mariyang,Millang Lonpong,28.468946,95.230789
4352,ARUNACHAL PRADESH,Upper Siang,Geku,Sikadine,28.469265,95.1054
4353,ARUNACHAL PRADESH,Upper Siang,Mariyang,Milang Karket,28.479607,95.252815
4354,ARUNACHAL PRADESH,Upper Siang,Mariyang,Mariyang,28.480976,95.18293
4356,ARUNACHAL PRADESH,Upper Siang,Mariyang,New Millang,28.4886584,95.2188379
4357,ARUNACHAL PRADESH,Upper Siang,Mariyang,Lagru Camp,28.508919,95.161133
4358,ARUNACHAL PRADESH,Upper Siang,Mariyang,Hydel Camp,28.517479,95.192154
4359,ARUNACHAL PRADESH,Upper Siang,Mariyang,Dalbing Gidum,28.527016,95.21035
4360,ARUNACHAL PRADESH,Upper Siang,Mariyang,Dalbing Bellang,28.531145,95.163056
4361,ARUNACHAL PRADESH,Upper Siang,Mariyang,Kolung,28.550301,95.178108
4362,ARUNACHAL PRADESH,Upper Siang,Mariyang,Siyat Camp,28.553667,95.226952
4364,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Gobuk,28.561848,95.104637
4365,ARUNACHAL PRADESH,Upper Siang,Mariyang,Peki-Modi,28.564333,95.243256
4366,ARUNACHAL PRADESH,Upper Siang,Jengging,Jengging,28.576031,95.004318
4368,ARUNACHAL PRADESH,Upper Siang,Jengging,Jengging Vill.,28.586712,95.0064639
4369,ARUNACHAL PRADESH,Upper Siang,Yingkiong,15 K.M. L/Camp,28.586802,95.025749
4370,ARUNACHAL PRADESH,Upper Siang,Jengging,Tageng,28.588051,95.000099
4371,ARUNACHAL PRADESH,Upper Siang,Yingkiong,11 K.M. L/Camp,28.591097,95.017639
4372,ARUNACHAL PRADESH,Upper Siang,Jengging,Karko,28.593559,94.996162
4373,ARUNACHAL PRADESH,Upper Siang,Jengging,Moying,28.602566,94.988213
4374,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Simong,28.6033665,95.0715808
4375,ARUNACHAL PRADESH,Upper Siang,Jengging,Gossang,28.611017,94.983208
4376,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Halleng,28.6113,95.005981
4377,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Yingkiong,28.6235847,95.0364522
4379,ARUNACHAL PRADESH,Upper Siang,Jengging,Kinekibo,28.647916,94.981025
4380,ARUNACHAL PRADESH,Upper Siang,Jengging,Tayeng,28.656787,94.943645
4381,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Gette,28.6849305,95.0097951
4382,ARUNACHAL PRADESH,Upper Siang,Yingkiong,Pugging,28.72081,94.9143519
4383,ARUNACHAL PRADESH,Upper Siang,Jengging,Pittung,28.733995,94.853714
4384,ARUNACHAL PRADESH,Upper Siang,Jengging,Bomdo,28.7530321,94.8968061
4385,ARUNACHAL PRADESH,Upper Siang,Geku,Komkar (Buksang),28.7588781,95.2266675
4405,ARUNACHAL PRADESH,Upper Siang,Migging,Mossing,28.776482,94.760147
4406,ARUNACHAL PRADESH,Upper Siang,Migging,Pango,28.783154,94.757828
